Tub ID,masat_col,pH,pH_group
Tub.104,#0069E9,7.455,7.0 - 7.5
Tub.105,#0069E9,7.205,7.0 - 7.5
Tub.30,#0096F4,6.78,6.5 - 7.0
Tub.4,#0099F5,7.76,7.5 - 8.0
Tub.99,#00A4F8,7.03,7.0 - 7.5
Tub.13,#00A8F8,7.51,7.5 - 8.0
Tub.59,#00A8F9,5.255,5.0 - 5.5
Tub.1,#00A9F9,5.425,5.0 - 5.5
Tub.11,#00A9F9,5.67,5.5 - 6.0
Tub.12,#00A9F9,6.545,6.5 - 7.0
Tub.26,#00A9F9,6.515,6.5 - 7.0
Tub.85,#00A9F9,6.23,6.0 - 6.5
Tub.82,#00AEFA,6.665,6.5 - 7.0
Tub.31,#00B6FC,6.62,6.5 - 7.0
Tub.94,#00BFFD,6.7,6.5 - 7.0
Tub.51,#14C8FF,6.29,6.0 - 6.5
Tub.88,#14C8FF,5.375,5.0 - 5.5
Tub.23,#15C8FF,5.11,5.0 - 5.5
Tub.58,#15C8FF,7.715,7.5 - 8.0
Tub.10,#15C8FF,6.21,6.0 - 6.5
Tub.83,#15C8FF,5.69,5.5 - 6.0
Tub.107,#2ECEFF,6.925,6.5 - 7.0
Tub.110,#2ECEFF,7.975,7.5 - 8.0
Tub.64,#46D3FF,5.49,5.0 - 5.5
Tub.16,#52D6FF,6.74,6.5 - 7.0
Tub.18,#52D6FF,6.655,6.5 - 7.0
Tub.15,#56D8FF,5.845,5.5 - 6.0
Tub.34,#6ADCFF,7.31,7.0 - 7.5
Tub.70,#6ADCFF,7.235,7.0 - 7.5
