	Sample	FileType	ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	In_CARD
Tub.16-k141_1016539_3-1..106	Tub.16	Potential	RBPA	1	106	k141_1016539_3	peptide	undefined	0.254122064	53.7	108	113	6.98e-34	1	NA
Tub.16-k141_1016539_3-1..106	Tub.16	Potential_loser	RBPA	1	106	k141_1016539_3	multidrug	undefined	0.224387602	53.7	108	113	6.98e-34	1	NA
Tub.1-k141_162512_2-2..143	Tub.1	Probable	ADP-RIBOSYLATING_TRANSFERASE_ARR	2	143	k141_162512_2	rifamycin	AF001493.1.orf0.gene.p01|FEATURES|ADP-ribosylating_transferase_arr|rifamycin|ADP-ribosylating_transferase_arr	0.999848281	74.6	142	235	1.04e-81	1	NA
Tub.11-k141_102522_1-13..143	Tub.11	Potential	DFRA3	13	143	k141_102522_1	peptide	undefined	0.300650896	58.8	131	149	2.08e-47	1	NA
Tub.11-k141_102522_1-13..143	Tub.11	Potential_loser	DFRA3	13	143	k141_102522_1	aminoglycoside	undefined	0.18938683	58.8	131	149	2.08e-47	1	NA
Tub.15-k141_75874_2-5..222	Tub.15	Probable	KDPE	5	222	k141_75874_2	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.988194436	52.8	218	219	1.02e-72	1	NA
Tub.31-k141_528214_2-9..201	Tub.31	Probable	CAMP-REGULATORY_PROTEIN	9	201	k141_528214_2	unclassified	gi:490367208:ref:WP_004246872.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.989778118	50.3	199	209	4.43e-69	1	NA
Tub.58-k141_455923_1-29..225	Tub.58	Probable	KDPE	29	225	k141_455923_1	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.981976474	63.1	198	262	3.55e-90	1	NA
Tub.31-k141_25287_3-1..380	Tub.31	Probable	ROSA	1	380	k141_25287_3	fosmidomycin	ZP_04623896|FEATURES|rosA|fosmidomycin|rosA	0.999274644	72.7	381	536	1.37e-192	1	NA
Tub.31-k141_12680_2-3..118	Tub.31	Probable	BRP(MBL)	3	118	k141_12680_2	glycopeptide	YP_007652797.1|FEATURES|BRP(MBL)|glycopeptide|BRP(MBL)	0.984930225	53.4	116	135	1.07e-42	1	NA
